
拡張データ用 画像識別子一覧

ここに載っていない識別子の付与については、
３文字を基本として他と被らないものにして下さい。


--識別子 アルファベット順-------------------------------------------
--------------------------------------------------------------------
3X3_       ３×３ＥＹＥＳ
SEN20_     激走戦隊カーレンジャー
SEN21_     電磁戦隊メガレンジャー
SEN22_     星獣戦隊ギンガマン
SEN23_     救急戦隊ゴーゴーファイブ
SEN24_     未来戦隊タイムレンジャー
SEN25_     百獣戦隊ガオレンジャー
SEN26_     忍風戦隊ハリケンジャー
SEN28_	   特捜戦隊デカレンジャー
SENM_      戦国無双
SF_　　　　スペクトラルフォース
SFH_　　　 サイファイハリー
SG_        センチメンタルグラフティ
SHAMAN_	　 シャーマンキング
SILM_      シルバー仮面
Silveolf_  超頭脳シルバーウルフ
SJSD_	   散人左道
SKD_	   聖剣伝説汎用データ
SKD3_	   聖剣伝説３
SKD-LOM_   聖剣伝説レジェンドオブマナ
SKG_       式神の城
SKNO_	   最終兵器彼女
SKU_       少女革命ウテナ
SKS_	   サイレントナイト翔
SLAY_      スレイヤーズ
           スレイヤーズすぺしゃる
SM_        美少女戦士セーラームーン
SMB_       スーパーマリオブラザーズ
SMC_       住めば都のコスモス荘
SMS_	   セクシーコマンドー外伝 すごいよ!!マサルさん
SMV_       超機動員ヴァンダー
SNG_       科学忍者隊ガッチャマン
SNCO_      速攻生徒会
SO1_       スターオーシャン
SO2_       スターオーシャンセカンドストーリー
SOCT_	   セイントオクトーバー
SOL_       Ｌの季節
SONIC_     ソニック・ザ・ヘッジホッグ
SPCH_      宇宙海賊キャプテンハーロック
SPDT_      スパイダーマン(東映版)
SPELUNKER_ スペランカー
SPL_	   時空戦士スピルバン
SPR_       ＳＰＲＩＧＧＡＮ
SQ_	   世界樹の迷宮共通モンスター
SQS_	   新・世界樹の迷宮
SR_        シャドウラン
SRH_       ストライダー飛竜
SRM_　　　 スーパーリアル麻雀
SRWOGEF_   無限のフロンティア
SS_        サムライスピリッツ
SSEW_      スーパー特撮大戦
SSO_       魔術士オーフェン
STD_       快傑蒸気探偵団
STDS9_     スタートレック・ディープスペースナイン
STF_       ストリートファイター
STS_       星闘士星矢
STTNG_     新スタートレック
STTOS_     スタートレック
STVOY_     スタートレック・ヴォイジャー
STW_       ＳＴＡＲＷＡＲＳ
Suzume_　　緊急出動すずめちゃん
SVF_       セブン＝フォートレス
SVN_       宇宙刑事シャリバン
SW_        ソードワールド
SWITCH_	   ストライクウィッチーズ
SYD_       少女義経伝
SZS_	   戦姫絶唱シンフォギア
SZSG_	   戦姫絶唱シンフォギアＧ
SZSGX_	   戦姫絶唱シンフォギアＧＸ
SZX_	   超星艦隊セイザーＸ
TAH_       月と貴女に花束を
TAIHO_     逮捕しちゃうぞ
TAK_       超兄貴
TAKC_	   超兄貴(漫画版)
TB_        サンダーバード
TBAB_      妖獣武装ブライオー
TBEE_      ツインビー
TCZ_	   雷鳴のZAJI
TETSU_     燃えよ鉄人
TF5_　　　 サンダーフォースⅤ
TFP_	   破壊魔定光
TG7_　　　 鉄人タイガーセブン
TK_	   ただいま寄生中
TKM_       宇宙の騎士テッカマン
TKMB_　　　宇宙の騎士テッカマンブレード
TKN_       鉄拳
TM_        東京ミュウミュウ
TMEMO_     ときめきメモリアル
TMM_       ＴＨＥ－ＭＯＭＯＴＡＲＯＨ
TMR_       天地無用！
TMS_       退魔針
TNJan_     鉄鍋のジャン
TO_        タクティクスオウガ
TOA_       タクティクスオウガ外伝
TOD_       テイルズオブデスティニー
TOD2_	   テイルズオブデスティニー２
TOE_       テイルズオブエターニア
TOFP_      テイルズオブファンタジア
TOFTA_     テイルズオブジアビス
TOFTT_     テイルズオブザテンペスト
TOG_	   テイルズオブグレイセス
TOH_	   テイルズオブハーツ
TOL_       テイルズオブレジェンディア
TOR_       テイルズオブリバース
TOS_       テイルズオブシンフォニア
TomoyoA_   智代アフター
TPA_       突撃！パッパラ隊
TRIGUN_    トライガン
TRS_       ティアリングサーガ
TRS-BWS_   ティアリングサーガシリーズ～ベルウィックサーガ
TS_        ＴＷＩＮ　ＳＩＧＮＡＬ
TSO_       天地創造
TSS_	　 天空戦記シュラト
TT2_       闘神都市Ⅱ
TTM_	   帝都物語
TTR_　　　 テツワン探偵ロボタック
TUG_       東京アンダーグラウンド
TWHE_      エルフを狩るモノたち
TYLOR_     無責任艦長タイラー
UAT_       うしおととら
UDK_       ウッディ・ケーン
UFOMASK_   ＵＦＯ仮面ヤキソバン
UNI_	   UNDER NIGHT IN-BIRTH
UM_        ウルトラマン
UM2_       帰ってきたウルトラマン
UM7_       ウルトラセブン
UMACE_     ウルトラマンＡ
UMCOS_     ウルトラマンコスモス
UMDYNA_    ウルトラマンダイナ
UMGAIA_    ウルトラマンガイア
UMNEXT_    ＵＬＴＲＡＭＡＮ
UMTIGA_    ウルトラマンティガ
UQ_        悠久幻想曲
UQ2_       悠久幻想曲悠久幻想曲２ｎｄＡｌｂｕｍ
UQ3_       悠久幻想曲3 Perpetual Blue
VAL_       ワルキューレ（ナムコ）
VAMP_      ヴァンパイア
VANMAS_    VantageMaster
VBF_	   VenusBlood-FRONTIER-
VG_        アドヴァンストヴァリアブルジオ
VJED_      吸血殲鬼ヴェドゴニア
VL_        ボイスラッガー
VMJ_       ＶＭ　ＪＡＰＡＮ
VNQS_	   VANQUISH
VPF_　　　 ヴァルキリープロファイル
WEDP_      愛天使ウェディングピーチ
WA_        ワイルドアームズ
WA2_       ワイルドアームズ２ｎｄ
WA3_       ワイルドアームズ３ｒｄ
WA4_	   ワイルドアームズ４th
WAH_	   ワイルドアームズ花盗人
WAHHA_     ワッハマン
WAM_       ワイルドアームズ共通モンスター
WATV_      ワイルドアームズ(ＴＶ)
WARZARD_   ウォーザード
WC01_      ロボット８ちゃん
WC02_      バッテンロボ丸
WC05_      勝手に！カミタマン
WC12_　　　美少女仮面ポワトリン
WEISS_     ヴァイスクロイツ
WHERO_     ウィークネスヒーロートラウマン
WHR_       Witch Hunter ROBIN
WH_        ワールドヒーローズ
WIZC_      ウィザードリィコミックス
WIZN_      ウィザードリィノベルズ
WJZAN_	   斬
WLHL_      ＷＩＬＤＨＡＬＦ
WM_        ウイングマン
WMDLA_     マドゥーラの翼
WSP_       特警ウィンスペクター
X_         X
XESG_	   ゼノサーガ
YH_        幽遊白書
YMT_       宇宙戦艦ヤマト
YPC5_      Yes！プリキュア5
YS_　　　　イース
YSO_	   イースオリジン
YUGO_　　　勇午
YY_        それゆけ！宇宙戦艦ヤマモトヨーコ
ZAN_　　　 RISING ZAN
ZB_        快傑Ｚバット
ZELDA01_   ゼルダの伝説
ZELDA02_   ゼルダの伝説リンクの冒険
ZELDAM_    ゼルダの伝説ムジュラの仮面
ZELDAO_	   ゼルダの伝説時のオカリナ
ZELDAW_    ゼルダの伝説風のタクト
ZMAN_　　　ＺＭＡＮ
ZP_        ZOMBIEPOWDER
ZWEI_      ＺＷＥＩ


--原作タイトル 五十音順---------------------------------------------
--------------------------------------------------------------------
【あ】
ARC_       アークザラッド
ARC3_      アークザラッド３
GODDESS_　 ああっ女神さまっ
ARMS_      ＡＲＭＳ
ROD_       R.O.D
RPGT01_    ＲＰＧツクールＳＵＰＥＲＤＡＮＴＥ
RPGT02_    ＲＰＧツクール２
RPGT03_	   ＲＰＧツクール３
RPGT04_	   ＲＰＧツクール４
irongiant_ アイアンジャイアント
Eithea_    アイシア
WEDP_      愛天使ウェディングピーチ
LSE_	   愛と哀しみのエスパーマン
